Matrikel,Nachname,Vorname,Email,Studiengang,Abschluss,Regelstudienzeit,Imma,Exma,Semester
3782896,Giese,Patrick,pg32fxci@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3678362,Heinze,Teresa,th39rvsy@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
2882327,Wilkens,Doris,dw14qqme@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3916123,Blum,Dietmar,db68jdmf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3082829,Raab,Vera,vr25upub@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3841358,Schrader,Thomas,ts99gstn@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2642382,Kleber,Uwe,uk56hqsi@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
3605425,Drechsel,Dietmar,dd25yfzp@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
3267278,Seidel,Elisabeth,es78bgbc@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
2370095,Wimmer,Karl,kw65njso@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2561653,Muecke,Dirk,dm31ihmn@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
2346336,Huebner,Werner,wh46iebr@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3165980,Schroeder,Ursula,us42innm@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
2966456,Titze,Francisco,ft35ospy@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3476297,Luedecke,Ulrich,ul9lzsn@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3509870,Poppe,Siegfried,sp73ybzz@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3834095,Held,Peter,ph4xxqx@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2468476,Hubert,Rosita,rh34cdje@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3825204,Baeumer,Edith,eb62voqf@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3151649,Reichelt,Egon,er73faqq@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2384159,Jehle,Angelika,aj43itqw@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2572295,Wolter,Christiane,cw80bytp@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3096466,Braun,Helene,hb17inoa@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3690005,Sass,Almut,as36ulet@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3092899,Strauss,Karl,ks20vjug@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
2877130,Lehmann,Ulrich,ul33ruki@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2352669,Mueller,Joachim,jm85krwu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3358535,Fuehrer,Hanni,hf68zevw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2775712,Hermann,Hildegard,hh62pmkm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3518549,Beck,Ursula,ub94bmnz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3680716,Reiff,Rosi,rr21bbir@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3460607,Schuster,Guenter,gs62eltw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2948404,Nielsen,Ilse,in78xldu@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2351917,Ruppel,Michael,mr63xlco@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2604659,Meier,Regina,rm98rjdq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2966325,Brose,Adelheid,ab10kwpl@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3495044,Frick,Ursel,uf44xjjg@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2483661,Steiner,Susanne,ss26cwbu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3615316,Wolf,Joerg,jw29ofxv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2483736,Marx,Steffen,sm88bgte@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3933193,Rauscher,Lore,lr83syrj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
2924879,Jordan,Hans,hj12laue@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3731247,Klos,Gerda,gk27rdfj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3738734,Behrend,Roswitha,rb88wumy@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2542549,Eberle,Tatjana,te71hwpj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3750079,Schuett,Brigitte,bs31oraz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2394843,Voit,Karl-Heinz,kv37rpzg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3767291,Haller,Walter,wh23uusr@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3350783,Kamp,Eva,ek58gzyr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2926916,Becker,Dietmar,db71nizo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3053850,Enders,Petra,pe35qxgt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2507880,Scheu,Susanne,ss62umfu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3333729,Stumpf,Joerg,js75drgt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3040253,Moeller,Anneliese,am50wcnu@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3317111,Richter,Michael,mr41veif@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2457342,Gerken,Hans,hg18nbio@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2787311,Kessler,Gerda,gk53qdcp@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3107993,Adam,Ina,ia79fmkh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3001489,Clemens,Maria,mc36onzz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3757464,Rieger,Brigitte,br74ecpz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3477418,Schuster,Karl-Heinz,ks50wilw@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3531107,Korte,Jochen,jk67xksz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2962478,Michl,Lorenz,lm71titv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3199661,Jung,Wilhelm,wj31cvox@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3304115,Lay,Herta,hl2kauv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3399855,Ehrhardt,Siegmund,se6prdk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3793264,Hoffmann,Andrea,ah27lrlo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2449868,Ullrich,Doris,du55julv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3348443,Zenker,Hartmut,hz47pclw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2908990,Richter,Gabriela,gr27cyqq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2403788,Schneider,Heinz,hs88nktq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3151635,Keil,Georg,gk68oize@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2457485,Koeppl,Baerbel,bk7bbfy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3742059,Busch,Ferdinand,fb21lipo@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2773103,Gebhardt,Helga,hg77jvlt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2371714,Weigert,Guenther,gw20hymf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3118365,Merk,Edeltraud,em41wrmy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2690640,Reitz,Thomas,tr95usia@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3833301,Berger,Peter,pb26japf@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2448396,Froehlich,Andrea,af1airm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2645991,Sohn,Sandra,ss52wvnb@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3083525,Wessel,Elisabeth,ew65jbzf@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2858618,Lohse,Maren,ml17gmgy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3346715,Ploeger,Franco,fp45tosq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2357215,Haussmann,Wilhelm,wh29ptbj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3148414,Kessler,Olga,ok53hqhh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3769275,Dierkes,Alwine,ad69wjpk@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3772772,Schroeder,Doris,ds25wtxm@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3599283,Wagner,Hartmut,hw72wekt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2605347,Marx,Ines,im37zivq@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3356420,Mutschler,Thomas,tm16atov@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3091456,Gottschalk,Georg,gg83owof@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3835187,Koch,Michaela,mk76vjws@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3322726,Fricke,Helmut,hf60uaos@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3696488,Hofmann,Angelika,ah22bcrg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2430407,Werner,Roswitha,rw42jgwx@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2713241,Boden,Marie,mb33oeiq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2983915,Roeder,Elisabeth,er20mdle@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3238538,Schramm,Karl,ks91wrtt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3918729,Kroeger,Johannes,jk15cofv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3335871,Linden,Sebastian,sl4artb@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2646900,Dittmann,Werner,wd52vyoj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2694885,Hartmann,Hildegard,hh9pbhz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2901139,Thaler,Ortrun,ot2tebx@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3179301,Ammon,Margot,ma25tzae@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3091413,Nowak,Ursula,un18szlk@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2894545,Schmidt,Guenter,gs98lheu@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3400605,Hof,Ulrich,uh70fvvy@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3753725,Maier,Joachim,jm33izmz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2850951,Peter,Andreas,ap48vbse@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3015331,Schmidt,Jutta,js10rylo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3342771,Koch,Marita,mk1pbgv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2631079,Kropf,Edelgard,ek56hoiy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3325882,Braeuer,Brigitte,bb48hnji@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2901304,Geiger,Karl-Heinz,kg26qicu@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3594139,Siegel,Olaf,os63btht@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3178618,Wiesmann,Ludger,lw30whgl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3423919,Maas,Helmut,hm49irmj@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3810464,Schaefer,Martina,ms89csxo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2949013,Heinecke,Melanie,mh30zvqc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3275943,Kirsten,Paula,pk16xgsc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2466539,Barthel,Elisabeth,eb18srnl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2424900,Fink,Karl,kf95geii@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3100069,Schoening,Robert,rs9szka@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2853202,Troeger,Jan,jt7jgzk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3777042,Roesch,Uwe,ur23weog@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2542523,Schwarz,Annette,as64phsr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2623934,Maier,Arnold,am42dhxe@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3795358,Opitz,Renate,ro45tnpe@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3775260,Feldmann,Barbara,bf74yjrm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3213238,Hausmann,Reinhard,rh67mwlk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2378521,Westermann,Antje,aw56idht@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2426534,Berger,Thomas,tb2izvd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3146495,Plum,Horst,hp48oqlq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3624712,Schroeder,Nicole,ns36lhna@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3290013,Kruse,Hubert,hk9ootm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3915008,Loose,Elfi,el63lrss@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3160112,Engel,Susanne,se4jrjl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3428860,Heinrich,Rainer,rh43lcff@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3181640,Wagner,Ulrike,uw54zoac@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3080021,Bachmann,Hans-Heinrich,hb83hjgi@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,6
3731705,Jakob,Franz-Josef,fj1emag@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2017,6
2568269,Kuschel,Renate,rk95pmlk@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2017,6
2493045,Fischer,Elfriede,ef89bgmp@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
2908677,Gruenewald,Ludwig,lg86lnln@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3182286,Stemmler,Agnes,as10vgoh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3382308,Wolf,Thomas,tw45aqao@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
2372739,Rapp,Uwe,ur95asry@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3504003,Schmitz,Annette,as30rkdn@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2833647,Hensel,Udo,uh58tebv@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
2507430,Lauer,Monika,ml7jhko@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
2779550,Braun,Gertrud,gb83kgok@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
2529796,Fries,Reinhard,rf15muei@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
2918632,Schultheis,Jutta,js37bdps@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3871954,Mueller,Walter,wm13egew@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
2570223,Reich,Birgid,br64zzhn@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3038701,Kuester,Werner,wk50qebw@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
2622759,Neumeister,Aenne,an88aihr@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3818536,Griebel,Gudrun,gg74ldfk@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
2518567,Koch,Angela,ak10hmar@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3173030,Wirth,Ursula,uw53ejjp@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3290284,Breuer,Guenter,gb40bons@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3120526,Ruetten,Alexander,ar30tfyt@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3514121,Specht,Kurt,ks52urrt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3854496,Lange,Peter,pl25fteq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3840457,Markert,Andrea,am84jwxo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3171551,Frei,Anja,af63kcgv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3295251,Jansen,August,aj49upof@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2571323,Weber,Maria,mw44rwpr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2488539,Beck,Heinz,hb22okbl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2351668,Rank,Wilhelm,wr42lrms@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3616866,Schultz,Margret,ms79mmgt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3847942,Eichler,Gudrun,ge58jjbi@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3809742,Haase,Dagmar,dh77juhz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3162066,Wehr,Babette,bw25kmha@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3747484,Becker,Karl,kb93iwba@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3707493,Richter,Alexander,ar73ykgk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2772171,Scheibel,Wilhelm,ws55slpv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2733693,Kahle,Juri,jk18htoo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3021152,Meyer,Hildegard,hm92jzcx@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2604150,Buehler,Edith,eb40hhga@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3460021,Gentner,Fred,fg30xprw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3683633,Strobel,Annelie,as52bopd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2955328,Zimmermann,Guenter,gz6baja@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2534781,Naumann,Wilhelm,wn21kvhd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3073325,Reutter,Dorothea,dr4cqdc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3775958,Hiller,Otmar,oh16gspz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3812402,Lorenz,Andrea,al22cjqe@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3424178,Hoehne,Theresia,th92madh@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2365084,Jonas,Doreen,dj43lthb@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3575689,Baur,Susanne,sb44ntgm@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,6
3125925,Eder,Joerg,je39cmjd@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
2416892,Schneider,Mario,ms59uliz@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3846100,Thiele,Elli,et13rtat@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3288932,Meyer,Andreas,am23unof@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,6
2956490,Ohl,Gerda,go87hpxw@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3227895,Guenther,Hedwig,hg96isjp@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,5
3782358,Hess,Marlene,mh10sucq@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
2900608,Wunderlich,Brigitte,bw81cfbw@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3153305,Bunk,Karl-Heinz,kb8mhmp@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
2804619,Schmidt,Dirk,ds56gcrk@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2017,6
3698150,Schulz,Lutz,ls26gdrd@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,6
3304483,Koehne,Kuno,kk32xihq@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3923073,Meister,Martina,mm36krpd@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3533392,Wendt,Susanne,sw70fqib@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2017,5
3359769,Boerner,Joerg,jb49inxh@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,5
3803740,Ries,Gerda,gr2bamx@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
2723339,Sievers,Konstantin,ks51rocy@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
2954653,Krueger,Hans,hk7zcad@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3316800,Mueller,Gerda,gm79lkmf@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3437045,Friedrich,Kirsten,kf30irzu@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
2933261,Hauck,Ulla,uh83cjxd@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3062426,Thiemann,Brigitte,bt10kbip@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3170444,Arlt,Karl-Heinz,ka18mzap@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3654202,Pieper,Konrad,kp1kdsb@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3879441,Schmelz,Ulf,us17bgcc@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
2395873,Hollmann,Helmut,hh26lysw@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
2864342,Martin,Martina,mm8numj@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
2766950,Eckert,Hedwig,he99jlru@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3022264,Goetz,Berta,bg25fakb@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3631078,Becker,Doris,db88txke@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3085808,Epple,Ludwig,le47lntj@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3383317,Seitz,Annett,as87pxnr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2897655,Weinmann,Heinz,hw73ydoa@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
